none,time
1720809643.4580600,1609460202318436000
1720809651.8690100,1609460210732346000
1720809660.2059900,1609460219069580000
1720809668.5082200,1609460227371902000
1720809676.7894400,1609460235652068000
1720809685.1862200,1609460243959930000
1720809693.4017500,1609460252265441000
1720809701.712500,1609460260576299000
1720809710.0708600,1609460268859865000
1720809718.310510,1609460277172215000
1720809726.6595300,1609460285461454000
1720809734.9109000,1609460293773060000
1720809743.1856700,1609460302049548000
1720809751.5441200,1609460310346866000
1720809759.8382600,1609460318632384000
1720809768.0523700,1609460326915277000
1720809776.3477300,1609460335210849000
1720809784.628620,1609460343492235000
1720809792.9021000,1609460351765086000
1720809801.2075100,1609460360062264000
1720809809.4793400,1609460368342430000
1720809817.77596,1609460376639112000
1720809826.0607500,1609460384924609000
1720809834.3873100,1609460393203896000
1720809842.6358100,1609460401497163000
1720809850.9749700,1609460409799564000
1720809859.2266100,1609460418090324000
1720809867.5083400,1609460426368657000
1720809874.8430100,1609460433706247000
1720809875.8028000,1609460434664360000
1720809884.056670,1609460442919121000
1720809892.338650,1609460451200984000
1720809900.6320300,1609460459495035000
1720809908.934530,1609460467773332000
1720809917.205240,1609460476068948000
1720809925.4953900,1609460484358674000
1720809933.819080,1609460492635689000
1720809942.0624000,1609460500925340000
1720809950.3545400,1609460509218005000
1720809958.6340900,1609460517496295000
1720809966.9243600,1609460525787964000